"","X1","X2","X3","Order_reshape"
"7940","259962","65557","475947","7940"
"7941","259950","591150","72754","7941"
"7942","627148","43956","79956","7942"
"7943","411142","144748","511944","7943"
"7947","166349","497544","475949","7947"
"7948","137540","389541","216748","7948"
"7949","439942","331944","475948","7949"
"7953","331948","483148","331943","7953"
"8046","490571","2009765","2600172","8046"
"8056","483350","130504","216882","8056"
"8057","1664175","1786609","490523","8057"
"8060","260101","692082","1628187","8060"
"8061","1808153","483340","22545","8061"
"8062","980128","1966628","2002604","8062"
"8079","58539","317729","1116943","8079"
"8080","1844141","908144","310503","8080"
"8081","749719","648877","728143","8081"
"8083","807306","2168163","51325","8083"
"8094","483333","519299","1304202","8094"
"8100","1592196","958533","101654","8100"
"8101","108907","1585008","1412146","8101"
"8102","1786624","857677","418571","8102"
"8104","1224980","1851342","1253727","8104"
"8105","2708162","389725","1621008","8105"
"8109","1952220","1520200","1541796","8109"
"8113","1779405","512123","303352","8113"
"8114","612933","346482","1563405","8114"
"8115","684934","1894610","375347","8115"
"8116","677718","360901","706552","8116"
"8121","1404947","418544","339332","8121"
"8122","540892","1743378","144891","8122"
"8124","252866","324874","411288","8124"
"8125","252892","1628208","2297764","8125"
"8126","1325745","94494","1678556","8126"
"8127","1916181","1030540","2427358","8127"
"8133","1692975","1743404","1642595","8133"
"8136","80065","58554","1822610","8136"
"8145","80141","166483","1325758","8145"
"8147","130542","562536","252869","8147"
"8165",NA,NA,NA,"8165"
"8166","29764","36964","36965","8166"
"8168","159378","29765","36969","8168"
"8169","15364","15365","29764","8169"
"8170",NA,NA,NA,"8170"
"8175","180977","58571","130575","8175"
"8178","15364","29764","15365","8178"
"8179","15364","15365","36969","8179"
"8180","51382","22580","44177","8180"
"8181","15379","65782","44182","8181"
"8185","166581","22580","137776","8185"
"8188","29789","65785","166576","8188"
"8189","29789","65785","166576","8189"
"8191","72973","36977","166580","8191"
"8192","36986","94580","80182","8192"
"11472","33072",NA,NA,"11472"
"15160","274349","598354","655956","15160"
"15247","1541765","1001756","2758559","15247"
"15254","2060199","51306","929771","15254"
"15255","108950","1584990","173733","15255"
"15258","1844196","2103378","1829767","15258"
"15261","504886","1188980","310476","15261"
"15265","1260959","2225753","1102558","15265"
"15268","1260957","1678573","1678612","15268"
"15274","1268141","1138568","1088175","15274"
"15278","605689","2499363","94492","15278"
"15280","1311333","2607358","1743365","15280"
"15287","1887392","504949","1822591","15287"
"15291","418538","778528","1383385","15291"
"15300","692123","1232181","548089","15300"
"15302","1620990","1095325","202537","15302"
"15314","317729","58539","526523","15314"
"15324","476079","2002590","1851411","15324"
"15328","1880194","252893","677746","15328"
"15331","432872","1311336","260119","15331"
"15347","1541798","94463","1988205","15347"
"15350","116144","36870","1570602","15350"
"15356","699320","224128","29665","15356"
"15357","72952","116148","1822626","15357"
"15368","36966","15371","29769","15368"
"15375","36979","44176","123382","15375"
"15381","94578","44175","29778","15381"
"15385","15390","137783","58583","15385"
"18672","11473",NA,NA,"18672"
"18673","40272",NA,NA,"18673"
"18674","33072",NA,NA,"18674"
"22341","576749","252747","547945","22341"
"22344","339142","216742","382345","22344"
"22353","425540","151948","58342","22353"
"22356","29561","159157","454350","22356"
"22358","403940","447146","562346","22358"
"22359","231150","87162","94362","22359"
"22360","173561","382354","29561","22360"
"22451","144863","137690","36935","22451"
"22454","252870","224099","1354604","22454"
"22455","648927","1520196","1152921","22455"
"22458","1037769","368130","94489","22458"
"22461","591352","461744","2189766","22461"
"22462","2045819","1909015","252941","22462"
"22467","548114","2197010","2052977","22467"
"22468","339288","382547","303342","22468"
"22469","15359","1765018","152111","22469"
"22474","612921","1520199","468937","22474"
"22480","828959","159350","1635395","22480"
"22483","1620995","296124","684939","22483"
"22484","2556961","1887402","1455391","22484"
"22485","267283","116131","274477","22485"
"22486","1131370","1678615","144915","22486"
"22487","1916153","144921","1440976","22487"
"22491","245664","2204210","130493","22491"
"22494","2420173","72908","1325789","22494"
"22498","346498","166461","375302","22498"
"22499","1268200","1513002","425683","22499"
"22500","1044925","2088985","663293","22500"
"22505","2009777","418535","497668","22505"
"22508","1289800","2067404","339291","22508"
"22509","375294","1369001","123342","22509"
"22524","1477004","1023370","1440999","22524"
"22525","994564","490514","584137","22525"
"22528","188125","800082","2067395","22528"
"22529","1332990","670518","389679","22529"
"22533","1887402","1858605","2556961","22533"
"22536","468904","2268963","130533","22536"
"22547","2017004","339287","656128","22547"
"22550","1829823","1534604","1959427","22550"
"22552","548122","389677","1945006","22552"
"22556","1477007","1779423","1765023","22556"
"22558","65747","209742","152145","22558"
"22564","159378","29765","36969","22564"
"22568","180977","130575","58571","22568"
"22572","116175","15389","130583","22572"
"22574","44171","87376","152177","22574"
"22576","36977","72973","166580","22576"
"22583","36964","36965","29764","22583"
"22585","72979","108976","101782","22585"
"22591","36990","29790","22596","22591"
"25872","11474","33072",NA,"25872"
"25873","11474",NA,NA,"25873"
"25874","11473",NA,NA,"25874"
"29540","389544","288746","562347","29540"
"29548","339140","569551","108748","29548"
"29552","36752","627149","130353","29552"
"29553","468748","144747","425541","29553"
"29554","295940","15152","540746","29554"
"29555","511959","432753","461551","29555"
"29558","439947","51141","36750","29558"
"29648","224066","2492164","245716","29648"
"29653","1642588","404104","1484194","29653"
"29654","188116","1851404","1844220","29654"
"29655","432899","44117","684937","29655"
"29657","994523","2053000","2204162","29657"
"29662","1116982","2607353","1066528","29662"
"29664","44076","1714596","1210543","29664"
"29667","548127","1988211","1376199","29667"
"29668","36959","1822615","1693017","29668"
"29670","1253782","872171","2636145","29670"
"29682","929705","548154","562542","29682"
"29684","591287","1808164","476150","29684"
"29685","188146","144878","375274","29685"
"29686","288904","267302","108858","29686"
"29687","2564157","346492","1743415","29687"
"29689","51337","303352","512123","29689"
"29697","1880189","670554","1541794","29697"
"29700","1959357","1872957","972925","29700"
"29705","36919","310481","1923374","29705"
"29708","1858615","641741","1944995","29708"
"29716","771316","872160","706559","29716"
"29723","51330","231281","130539","29723"
"29724","252891","1664204","1858569","29724"
"29725","2045793","1873004","1678610","29725"
"29729","656135","627370","29740","29729"
"29746","749720","1721813","1678599","29746"
"29747","252879","1124159","368146","29747"
"29748","1736191","1714600","195333","29748"
"29752","1837014","2009791","116072","29752"
"29767","15364","29764","15365","29767"
"29768","29777","58569","22567","29768"
"29770","144977","15366","58572","29770"
